companyname;address;phone;fax;email;qualification;Certificat RGE
SOFIFERM;6 RUE DES BATELIERS 57950 MONTIGNY LES METZ;03 87 65 72 15;03 87 66 97 40;sofiferm@wanadoo.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-1-SOFIFERM-E1-3-20160408.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-1-SOFIFERM-E1-3-20160408-RGEAnnexe.pdf&f=
MINAIRE MENUISERIES;RUE DU RUISSEAU ST PIERRE 57245 PELTRE;03 87 38 10 09;03 87 38 14 46;fenster@minaire.com;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-11-MINAIRE MENUISE-E11-3-20160325.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-11-MINAIRE MENUISE-E11-3-20160325-RGEAnnexe.pdf&f=
ENTREPRISE DURMEYER S.A.S.;7 RUE DU PONT NEUF 57930 MITTERSHEIM;03 87 07 67 07;03 87 07 62 74;durmeyer@durmeyer.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-21-ENTREPRISE DURM-E21-6-20160416.pdf&f=;
KARLESKIND ANTOINE (MAISON);40 AVENUE CLEMENCEAU 57401 SARREBOURG CEDEX;03 87 23 71 36;03 87 23 71 36;maison.antoine-karlskind@wanadoo.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-23-KARLESKIND ANTO-E23-6-20160325.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-23-KARLESKIND ANTO-E23-6-20160325-RGEAnnexe.pdf&f=
WIEDEMANN JASALU;53 RUE DU GENERAL METMAN 57070 METZ;03 87 74 16 83;03 87 76 93 45;secretariat@wiedemann-jasalu.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\SIEG-Certificat-33-WIEDEMANN JASAL-E33-3-20160330.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\SIEG-Certificat-33-WIEDEMANN JASAL-E33-3-20160330-RGEAnnexe.pdf&f=
HOERRMANN (ETS);29 BOUCLE DU FERRONNIER 57100 THIONVILLE;03 82 59 44 77;03 82 59 44 78;hoerrmann@wanadoo.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-35-HOERRMANN (ETS)-E35-3-20160325.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-35-HOERRMANN (ETS)-E35-3-20160325-RGEAnnexe.pdf&f=
LE SANITAIRE FRANCAIS;RUE DE LA GILLIERE ZAC EURO MOSELLES 57051 METZ CEDEX 2;03 87 30 56 33;03 87 31 93 03;christophe.baudin@l-s-f.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-36-LE SANITAIRE FR-E36-10-20160416.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-36-LE SANITAIRE FR-E36-10-20160416-RGEAnnexe.pdf&f=
STRUBEL EUGENE SAS;1A RUE CENTRALE 57870 HARTZVILLER;03 87 25 14 44;03 87 25 13 73;strubel@strubel.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\SIEG-Certificat-39-STRUBEL EUGENE-E39-1-20160419.pdf&f=;
SCHNEIDER;2 RUE DES VERGERS 57890 PORCELETTE;03 87 29 31 31;;schneider.btp@wanadoo.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\SIEG-Certificat-48-SCHNEIDER-E48-1-20160324.pdf&f=;
LES FILS DE BECK FERDINAND (SARL);3 RUE DE LA MONTAGNE 57200 WIESVILLER;03 87 02 38 33;03 87 02 23 87;contact@ferdinandbeck.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-52-LES FILS DE BEC-E52-3-20160325.pdf&f=;
WIT;14 RUE NATIONALE 57455 SEINGBOUSE;03 87 89 12 77;03 87 89 56 32;;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\SIEG-Certificat-56-WIT-E56-1-20160404.pdf&f=;
